Plot_ID,plot_datetime,plot_type,mean_depth,med_depth,max_depth,min_depth,sd_depth,SWE,density,count,easting,northing,elev_ellipsoidal,lon,lat
CRU_snowpillow,2021-03-09 9:59:00,snowscale,402,NA,NA,NA,NA,112.584817504341,0.280061735085425,1,329589.58,5504502.042,1364.033,-125.36173729,49.668948640000004
CRU_snowsurvey,2021-03-09 9:59:00,snowsurvey,430.5,436.5,446,403,19.399312702602,104.592017159081,0.245781442495853,4,329584.78,5504523.844,1362.723,-125.36181325,49.66914322
CRU_CAM1,3/9/2021 16:24,NA,257.8,280,330,115,82.5935832858703,NA,NA,5,330133.068,5504196.401,1122.364,-125.35407913,49.66635518
CRU_CAM2,3/11/2021 11:53,NA,350,355,370,325,17.6776695296637,NA,NA,5,330643.33,5503665.223,1015.715,-125.34678424,49.66172496
CRU_CAM3,3/11/2021 16:00,NA,281.2,284,293,269,10.733126291999,NA,NA,5,330745.787,5503356.824,981.427,-125.34523246,49.65898212
CRU_E3S,3/10/2021 14:43,Cardinal 10 m,333.647058823529,335,430,250,54.4035168629641,95.6970948786899,0.271848031061811,17,329432.389,5504540.275,1400.022,-125.36393053,49.6692478
CRU_E7S,3/11/2021 15:15,Cardinal 10 m,233.823529411765,234,290,145,33.8235038363075,44.1678899440107,0.191213184078262,17,330730.029,5503354.767,981.414,-125.34544972,49.65895921
CRU_N3O,3/10/2021 10:21,Cardinal 10 m,426.676470588235,433,476,317,42.1170026445936,163.825343419778,0.390060341475662,17,328983.599,5504640.86,1414.102,-125.37018874,49.67002466
CRU_N4S,3/10/2021 12:28,Cardinal 10 m,400.647058823529,406,448,318,39.7742711694234,192.693245343968,0.458793441295163,17,328488.76,5505112.774,1264.273,-125.37724752,49.67412514
CRU_WX_CAM,3/9/2021 11:38,Custom,437.4,443,463,418,19.3468343663763,NA,NA,5,329597.714,5504521.572,1362.654,-125.36163317,49.66912646
CRU_WX_SR50,2021-03-09 9:59:00,SR50,440,NA,NA,NA,NA,NA,NA,NA,329591.912,5504506.718,1364.332,-125.36170704,49.66899133
