Plot_ID,plot_datetime,plot_type,mean_depth,med_depth,max_depth,min_depth,sd_depth,SWE,density,count,northing,easting,elev,aspect,cover,station_type
CRU_snowpillow,2021-03-09 9:59:00,snowscale,402,NA,NA,NA,NA,112.584817504341,0.280061735085425,1,5504501.587,329590.9172,1364.26,east,sparse,wx
CRU_snowsurvey,2021-03-09 9:59:00,snowsurvey,430.5,436.5,446,403,19.399312702602,104.592017159081,0.245781442495853,4,5504523.389,329586.1172,1362.9499999999998,east,sparse,wx
CRU-CAM1-OG,3/9/2021 16:24,NA,257.8,280,330,115,82.5935832858703,NaN,NaN,5,NA,NA,NA,NA,NA,NA
CRU-CAM2-NG,3/11/2021 11:53,NA,350,355,370,325,17.6776695296637,NaN,NaN,5,5503664.7678,330644.6668,1015.9428,east,new growth,camera
CRU-CAM3-OG,3/11/2021 16:00,NA,281.2,284,293,269,10.733126291999,NaN,NaN,5,5503356.3694,330747.1236,981.6546,east,sparse,camera
CRU_E3S,3/10/2021 14:43,Cardinal 10 m,333.647058823529,335,430,250,54.4035168629641,95.6970948786899,0.271848031061811,17,5504539.82,329433.7262,1400.249,east,sparse,cardinal_10
CRU_E7S,3/11/2021 15:15,Cardinal 10 m,233.823529411765,234,290,145,33.8235038363075,44.1678899440107,0.191213184078262,17,5503354.312,330731.366,981.641,east,sparse,cardinal_10
CRU_N3O,3/10/2021 10:21,Cardinal 10 m,426.676470588235,433,476,317,42.1170026445936,163.825343419778,0.390060341475662,17,5504640.405,328984.9362,1414.329,north,open,cardinal_10
CRU_N4S,3/10/2021 12:28,Cardinal 10 m,400.647058823529,406,448,318,39.7742711694234,192.693245343968,0.458793441295163,17,5505112.319,328490.0972,1264.499,north,sparse,cardinal_10
CRU_wx_cam_stks,3/9/2021 11:38,Custom,429.4,435,455,410,19.3468343663763,NaN,NaN,5,5504521.117000001,329599.0508,1362.8806,east,sparse,camera
CRU_wx_SR50,2021-03-09 9:59:00,SR50,430,NA,NA,NA,NA,NA,NA,NA,5504506.263,329593.2492,1364.559,east,sparse,wx
