station,utm_z,utm_e,utm_n,height,scale,combined,convergence
2101,UTM9,687709.047,5576465.258,1244.479,1.00003274,0.99983777,-2.0293
2102,UTM9,687780.589,5576288.816,1274.848,1.00003307,0.99983334,-2.03
2104,UTM9,687792.846,5576225.132,1331.262,1.00003312,0.99982456,-2.0301
2106,UTM9,687843.532,5576192.942,1351.823,1.00003336,0.99982158,-2.0306
2107,UTM9,687946.899,5576144.476,1404.741,1.00003383,0.99981377,-2.0317
3,UTM9,687655.130,5577234.031,1010.587,1.00003249,0.99987416,-2.0292
600,UTM9,687639.213,5577179.617,1009.317,1.00003241,0.99987428,-2.029
Cam r10,UTM9,687674.002,5576345.924,1268.194,1.00003257,0.99983389,-2.0289
Cam r2,UTM9,687712.493,5576503.352,1210.591,1.00003275,0.99984309,-2.0294
R5 camera,UTM9,688466.990,5577915.725,771.268,1.00003624,0.99991540,-2.0384
Steph 1,UTM9,688227.694,5576005.444,-0.189,1.00003513,1.00003516,-2.0346
Steph 2,UTM9,687654.618,5576688.533,-0.189,1.00003248,1.00003251,-2.0289
Steph 3,UTM9,687712.611,5577321.719,-0.189,1.00003275,1.00003278,-2.0299
Steph 4,UTM9,688286.942,5577236.828,-0.189,1.00003540,1.00003543,-2.0361
Steph 6,UTM9,688624.894,5577472.407,-0.189,1.00003697,1.00003700,-2.0399
Steph 7,UTM9,688074.298,5578217.580,-0.189,1.00003442,1.00003445,-2.0344
Steph 8,UTM9,687511.525,5578973.505,-0.189,1.00003182,1.00003185,-2.0288
