ACO_Flight_Number,plot_datetime,Study_Area,Plot_ID,easting,northing,elev_ellipsoidal,lon,lat,plot_type,mean_depth,med_depth,max_depth,min_depth,sd_depth,SWE,density,count
1,3/9/2021 4:11,Tsitika,2101,687709.047,5576465.258,1244.479,-126.3636375,50.31037912,NA,252.8,266,291,147,41.37148777,47.15702018,0.192893402,15
1,3/9/2021 5:34,Tsitika,2102,687780.589,5576288.816,1274.848,-126.3627216,50.30877118,NA,279.4705882,277,315,245,17.74513189,NA,NA,17
1,3/9/2021 6:44,Tsitika,2104,687792.846,5576225.132,1331.262,-126.3625813,50.30819514,NA,218.4117647,218,250,184,20.82984284,48.64872183,0.22158099,17
1,3/11/2021 2:56,Tsitika,2106,687843.532,5576192.942,1351.823,-126.3618863,50.3078898,NA,215,218,239,166,20.11218536,NA,NA,17
1,3/11/2021 3:53,Tsitika,2107,687946.899,5576144.476,1404.741,-126.3604603,50.30742144,NA,313.2,318,320,299,8.871302046,NA,NA,5
1,3/9/2021 3:40,Tsitika,3,687655.13,5577234.031,1010.587,-126.3640118,50.31730297,NA,233.9411765,226,323,195,34.47729432,NA,NA,17
1,NA,Tsitika,600,687639.213,5577179.617,1009.317,-126.3642622,50.31681918,NA,146,149,210,66,34.42382896,28.14985388,0.220734683,17
1,3/12/2021 5:08,Tsitika,R5 camera,688466.99,5577915.725,771.268,-126.3522801,50.32316828,NA,22,20,28,16,5.656854249,3.849552667,0.236587091,5
1,3/11/2021 4:57,Tsitika,Steph 1,688227.694,5576005.444,-0.189,-126.3565906,50.30608283,NA,249.7,258,285,190,34.45786477,81.95938226,0.330348087,10
1,3/11/2021 7:35,Tsitika,Steph 2,687654.618,5576688.533,-0.189,-126.3642902,50.31240236,NA,239.4,239,245,234,3.627058802,67.12657464,0.280445084,10
1,3/18/2021 5:19,Tsitika,Steph 3,687712.611,5577321.719,-0.189,-126.3631617,50.31807247,NA,139.2,138.5,149,130,6.613118276,32.11970507,0.23015085,10
1,3/18/2021 5:11,Tsitika,Steph 4,688286.942,5577236.828,-0.189,-126.3551454,50.31712664,NA,150.5,151.5,156,143,4.600724581,39.19325809,0.261191598,10
1,3/12/2021 3:15,Tsitika,Steph 6,688624.894,5577472.407,-0.189,-126.3502859,50.31913504,NA,132.2,135,142,111,8.891943919,34.64597401,0.262099016,10
1,3/12/2021 2:25,Tsitika,Steph 7,688074.298,5578217.58,-0.189,-126.3576403,50.32600558,NA,71.8,72,77,65,3.735713527,21.58155464,0.301397973,10
1,3/12/2021 1:45,Tsitika,Steph 8,687511.525,5578973.505,-0.189,-126.3651623,50.33297615,NA,70.5,70.5,74,66,2.460803843,19.34400215,0.279533569,10
2,4/8/2021 4:40,Tsitika,2101,687709.047,5576465.258,1244.479,-126.3636375,50.31037912,NA,277.3529412,280,345,135,49.59579263,87.33672614,0.261487204,17
2,4/7/2021 5:07,Tsitika,2102,687780.589,5576288.816,1274.848,-126.3627216,50.30877118,NA,282.3529412,280,312,223,21.17764498,66.54914174,0.242598373,17
2,4/7/2021 7:40,Tsitika,2104,687792.846,5576225.132,1331.262,-126.3625813,50.30819514,NA,217.1176471,218,273,151,30.42384417,NA,NA,17
2,4/8/2021 6:37,Tsitika,2106,687843.532,5576192.942,1351.823,-126.3618863,50.3078898,NA,229.7777778,231.5,265,204,16.39783183,14.4358225,0.059163207,18
2,4/7/2021 3:35,Tsitika,600,687639.213,5577179.617,1009.317,-126.3642622,50.31681918,NA,160.3636364,168,238,45,41.09981515,31.39791394,0.230050024,22
2,4/7/2021 13:02,Tsitika,Cam r10,687674.002,5576345.924,1268.194,-126.3641885,50.30931818,NA,161,160,172,151,10.53565375,NA,NA,3
2,4/7/2021 4:27,Tsitika,Cam r2,687712.493,5576503.352,1210.591,-126.3635703,50.31072026,NA,224.3333333,221,256,196,30.13856887,64.96120126,0.292816511,3
2,4/6/2021 5:27,Tsitika,Steph 1,688227.694,5576005.444,-0.189,-126.3565906,50.30608283,NA,269.3076923,278,338,197,46.61971081,75.51045617,0.283660239,13
2,4/6/2021 13:31,Tsitika,Steph 2,687654.618,5576688.533,-0.189,-126.3642902,50.31240236,NA,251.9,252.5,254,248,2.078995484,70.44681381,0.279633715,10
2,4/6/2021 13:39,Tsitika,Steph 3,687712.611,5577321.719,-0.189,-126.3631617,50.31807247,NA,141.3,141.5,155,127,8.895067297,45.25630355,0.31989723,10
2,4/7/2021 5:38,Tsitika,Steph 4,688286.942,5577236.828,-0.189,-126.3551454,50.31712664,NA,162.2,159.5,174,154,7.390684828,44.9675871,0.278065863,10
2,4/6/2021 8:51,Tsitika,Steph 6,688624.894,5577472.407,-0.189,-126.3502859,50.31913504,NA,132.9,133.5,138,126,4.01248053,38.90454164,0.292684835,10
2,4/8/2021 13:11,Tsitika,Steph 7,688074.298,5578217.58,-0.189,-126.3576403,50.32600558,NA,66,66.5,68,62,2.160246899,23.31385334,0.35301292,10
2,4/8/2021 14:19,Tsitika,Steph 8,687511.525,5578973.505,-0.189,-126.3651623,50.33297615,NA,63.7,64.5,67,57,2.945806813,23.097316,0.363128156,10
